id,name,description,rarity,types,alignment,governance_style,attack,defense,mana,url
0-124,Dreadfiend of the Abyss,"A creature from the fathomless depths, exuding malevolence.",Uncommon,"Demon,Beast",Evil,"Fear Monger,Tyrant",8.0,6.0,5,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-124.png
0-125,Sir Thoran the Valiant,A knight bound by honor and a code of valor.,Uncommon,"Vampire,Warrior",Good,"Egalitarian,Theocracy",7.0,7.0,9,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-125.png
0-126,Frostclaw Behemoth,A ferocious creature hailing from the icy tundras.,Common,"Beast,Elemental",Neutral,"Tyrant,Isolationist",7.0,6.0,9,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-126.png
0-127,Cursed Bear,A mischievous cursed bear.,Common,"Vampire, Beast",Evil,Trickster,4.0,7.0,4,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-127.png
0-128,Flameheart Celestia,"Guardian of the ethereal forest, she wields the power of stars and fire.",Uncommon,"Celestial, Demon",Good,"Benevolent Overseer,Trickster",6.0,5.0,11,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-128.png
0-129,Necroking Eclipsion,"Ruler of the shadow realm, he commands spirits with a golden touch.",Rare,"Undead,Spirit",Evil,"Tyrant,Strategist",7.0,5.0,11,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-129.png
0-130,Inferno Fiend,A demonic warrior fueled by the fires of the abyss.,Common,"Warrior,Demon",Evil,Tyrant,7.0,6.0,5,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-130.png
0-131,Red Horn Warrior,"Guardian of lost souls, draped in crimson armor.",Common,"Warrior,Demon",Evil,"Telepathic Manipulation,Isolationist",6.0,8.0,7,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-131.png
0-132,Moonlit Guardian,"In the heart of the emerald grove, he channels the moon's arcane power.",Common,"Vampire,Spirit",Good,Charismatic Charm,4.0,6.0,5,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-132.png
0-133,Shade of the Eldritch,A spectral ruler from an ancient order of mages.,Rare,"Warrior,Spirit",Neutral,"Theocracy,Strategist",6.0,5.0,10,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-133.png
0-134,Dark Arbiter,A mysterious figure holding the balance of life and death.,Uncommon,"Mage,Undead",Neutral,"Telepathic Manipulation,Isolationist",5.0,7.0,7,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-134.png
0-135,Knight of the Azure Guard,A valiant knight serving the azure realms.,Common,"Warrior,Celestial",Good,Egalitarian,6.0,7.0,5,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-135.png
0-136,Leviathan of the Abyss,An ancient creature lurking in the deepest seas.,Rare,"Demon,Beast",Neutral,"Isolationist,Fear Monger",8.0,6.0,5,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-136.png
0-137,Guardian Of The Peak,A protector of the sacred mountain realms.,Uncommon,"Warrior,Elemental",Good,"Benevolent Overseer,Strategist",7.0,7.0,8,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-137.png
0-138,Viper’s Bite,A deadly warrior with a venomous touch.,Common,"Demon,Warrior",Evil,"Tyrant,Trickster",7.0,6.0,6,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-138.png
0-139,Azrak the Deceiver,A mage wielding cosmic energies from distant galaxies.,Rare,"Undead, Mage",Good,"Strategist,Charismatic Charm",7.0,6.0,11,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-139.png
0-140,Verdant Sorcerer,A master of the magic harnessed from the heart of the forest.,Common,"Demon,Mage",Neutral,"Egalitarian,Strategist",6.0,7.0,8,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-140.png
0-141,Gorgon the Terrible,A fearsome beast with unmatched strength.,Rare,"Demon,Beast",Evil,"Tyrant,Isolationist",9.0,8.0,12,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-141.png
0-142,Mountain Protector,A mighty beast who safeguards mountain treasures.,Common,"Beast,Warrior",Neutral,"Egalitarian,Strategist",7.0,7.0,8,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-142.png
0-143,Goblin Brute,A mischievous creature that thrives in the heat.,Common,"Demon,Warrior",Evil,"Trickster,Fear Monger",5.0,4.0,5,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-143.png
0-144,Ironclad Defender,A warrior known for his impenetrable armor.,Common,"Demon,Warrior",Evil,"Trickster,Fear Monger",7.0,6.0,5,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-144.png
0-145,Ent Guardian,Protector of the deep forest.,Common,"Elemental,Warrior",Good,"Egalitarian,Benevolent Overseer",6.0,8.0,8,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-145.png
0-146,Hell’s Soldier,A demon with a burning passion for conquest.,Common,"Demon,Warrior",Evil,"Tyrant,Telepathic Manipulation",8.0,7.0,11,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-146.png
0-147,Raven the Undying,A mage who has transcended death.,Rare,"Mage,Undead",Neutral,"Telepathic Manipulation,Strategist",6.0,8.0,10,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-147.png
0-148,Mystic Vale,A serene place where magic flows freely.,Common,"Spirit,Beast",Neutral,"Isolationist,Egalitarian",3.0,6.0,4,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-148.png
0-149,Fuzzball the Brave,A tiny warrior with a big heart.,Uncommon,"Beast,Spirit",Good,"Charismatic Charm,Egalitarian",5.0,6.0,9,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-149.png
0-150,Zephyra the Swift,"Agile and dangerous, she's a force to be reckoned with.",Rare,"Beast,Warrior",Good,"Trickster,Strategist",7.0,8.0,11,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-150.png
0-151,EARTHSHAKER,A behemoth forged from the very mountains.,Uncommon,"Demon,Warrior",Neutral,"Egalitarian,Isolationist",8.0,7.0,8,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-151.png
0-152,Venomshade,A creature born from the depths of the swamp.,Common,"Demon,Spirit",Evil,"Fear Monger,Trickster",5.0,6.0,5,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-152.png
0-153,Korrok the Fierce,A warrior whose roar can shake the forest.,Rare,"Beast,Warrior",Good,"Benevolent Overseer,Strategist",6.0,7.0,6,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-153.png
0-154,Frostscale the Ancient,A timeless dragon with control over ice.,Rare,"Elemental,Beast",Neutral,"Theocracy,Telepathic Manipulation",7.0,8.0,11,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-154.png
0-155,Shadowpaw Trickster,A sly creature that hides in the shadows.,Common,"Beast,Vampire",Evil,"Trickster,Charismatic Charm",5.0,5.0,8,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-155.png
0-156,Greenthorn Jester,A vindictive spirit of the woods.,Common,"Demon,Spirit",Evil,Trickster,4.0,6.0,4,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-156.png
0-157,Arnor the Regal,A beastly knight with a noble demeanor.,Uncommon,"Beast,Warrior",Good,"Benevolent Overseer,Strategist",7.0,7.0,9,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-157.png
0-158,Cephalox the Abyssal,An ancient creature from the ocean's depths.,Rare,"Demon,Celestial",Neutral,"Telepathic Manipulation,Isolationist",6.0,8.0,11,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-158.png
0-159,Emberclaw the Fiery,A creature forged from flames and fury.,Rare,"Beast,Warrior",Evil,"Tyrant,Telepathic Manipulation",8.0,7.0,11,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-159.png
0-160,Astra the Starforged,A being whose power is drawn from constellations.,Uncommon,"Celestial,Undead",Good,"Theocracy,Charismatic Charm",6.0,7.0,8,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-160.png
0-161,Rufus the Gallant,"A warrior of honor, guarding the celestial realms.",Uncommon,"Beast,Warrior",Good,"Benevolent Overseer,Egalitarian",7.0,6.0,6,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-161.png
0-162,Mystic Seer,A mage who can gaze into the depths of time.,Common,"Undead,Mage",Neutral,"Telepathic Manipulation,Theocracy",5.0,7.0,6,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-162.png
0-163,Vermilia the Puppeteer,A master of marionettes with a mischievous streak.,Uncommon,"Demon,Mage",Evil,"Trickster,Fear Monger",4.0,5.0,4,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-163.png
0-164,Vala The Frost Queen,A mage with command over the icy winds.,Rare,"Celestial,Mage",Good,"Charismatic Charm,Theocracy",7.0,6.0,11,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-164.png
0-165,Fury the Dreadlord,"A demon knight, bringing fear wherever he treads.",Rare,"Demon,Undead",Evil,"Tyrant,Fear Monger",8.0,7.0,11,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-165.png
0-166,Holy Vengeance,A celestial being emanating pure light.,Common,"Celestial,Warrior",Good,"Theocracy,Charismatic Charm",7.0,6.0,11,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-166.png
0-167,Gorok the Stonefur,A massive bear with an unyielding stance.,Uncommon,"Beast,Warrior",Neutral,"Tyrant,Egalitarian",8.0,7.0,9,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-167.png
0-168,Valethorn Druid,Guardian of the ancient groves and its spirits.,Uncommon,"Spirit,Warrior",Neutral,"Strategist,Theocracy",6.0,6.0,8,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-168.png
0-169,Emberwhisk the Cunning,A cat with mystical flames and a playful heart.,Uncommon,"Beast,Spirit",Good,"Trickster,Charismatic Charm",4.0,5.0,5,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-169.png
0-170,Arcane Crusader,A knight endowed with the magic of the ancients.,Uncommon,"Celestial,Warrior",Good,"Strategist,Benevolent Overseer",7.0,6.0,8,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-170.png
0-171,Icebone Lich,A mage of frost and the void.,Uncommon,"Mage,Undead",Evil,"Telepathic Manipulation,Fear Monger",6.0,7.0,10,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-171.png
0-172,Rockjaw Titan,A giant whose very steps shake the earth.,Common,"Warrior,Beast",Neutral,"Tyrant,Egalitarian",8.0,8.0,5,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-172.png
0-173,Starfire Sprite,A playful spirit from the cosmic realms.,Rare,"Spirit,Celestial",Good,"Trickster,Charismatic Charm",5.0,6.0,11,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-173.png
0-174,Cryptic Enchanter,A hooded figure who wields ancient spells.,Common,"Undead,Demon",Neutral,"Strategist,Telepathic Manipulation",5.0,6.0,6,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-174.png
0-175,Blazeclaw Dragon,A dragon who thrives amidst roaring flames.,Uncommon,"Beast,Elemental",Neutral,"Charismatic Charm,Isolationist",7.0,6.0,8,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-175.png
0-176,Verdant Whisker,A mystical cat with an aura of enchantment.,Common,"Beast,Spirit",Good,"Egalitarian,Charismatic Charm",4.0,5.0,5,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-176.png
0-177,Stellar Sorceress,A mage with power drawn from the cosmos.,Rare,"Celestial,Vampire",Neutral,"Theocracy,Strategist",7.0,6.0,11,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-177.png
0-178,Flarefang the Ferocious,A beast who embodies the spirit of wildfire.,Uncommon,"Beast,Warrior",Neutral,"Tyrant,Fear Monger",8.0,6.0,8,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-178.png
0-179,Azurescale Drake,A dragon with scales that shimmer like sapphire.,Common,"Beast,Elemental",Neutral,"Charismatic Charm,Trickster",6.0,5.0,5,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-179.png
0-180,Elysia the Guardian,A protector of ancient forests and their secrets.,Uncommon,"Warrior,Mage",Good,"Benevolent Overseer,Egalitarian",5.0,7.0,4,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-180.png
0-181,Thornback Troll,A brute known to crush anyone crossing his path.,Common,"Beast,Demon",Evil,"Tyrant,Isolationist",8.0,7.0,6,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-181.png
0-182,Sentinel's Passage,"Nestled within the embrace of majestic snow-capped peaks lies the grand fortress of Sentinel's Passage. A testament to the architectural prowess of an ancient civilization, the fortress stands tall, its towering spires reaching for the azure skies. Its stone walls, etched with intricate patterns, tell tales of valor and honor, of battles won and heroes celebrated. The imposing gateway, adorned with ornate arches and delicate carvings, beckons travelers from afar. In the distance, the silhouette of a lone warrior stands vigilant, embodying the spirit of resilience and courage that the land represents. Sentinel's Passage is not just a fortress; it is a symbol of unyielding strength and enduring legacy.",Land,Warrior,Neutral,,,,0,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-182.png
0-183,Nocturnal Citadel,"In the heart of the Land of Vampires, the Nocturnal Citadel rises defiantly against the moody skies. With spires sharp as fangs and architecture dark as the night, this imposing fortress dominates the horizon. Every detail of its construction, from the intricately carved gargoyles to the blood-red glow emanating from its depths, whispers of power and ancient secrets. Beneath its shadow, the city sprawls in silent reverence, waiting for the night to unveil its true essence. Here, in this realm of eternal twilight, the vampires reign supreme, their legacy etched in stone and their presence felt in every whispered wind.",Land,Vampire,Evil,,,,0,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-183.png
0-184,Infernal Stronghold,"Deep within the Land of Demons, the Infernal Stronghold blazes with fury, casting an ominous glow across the fiery horizon. Its spires, sharp and menacing, pierce the smoky sky, mirroring the wrath of the creatures dwelling within. Engulfed by flames that dance and writhe like serpents, the citadel stands as a testament to the untamed power of the underworld. The silhouette of a monstrous face forms in the smoke, watching over its realm with a gaze as fierce as the molten lava below. Here, where the earth cracks open to reveal its burning heart, demons rule with an iron fist, their dominion unchallenged and their might undeniable.",Land,Demon,Evil,,,,0,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-184.png
0-185,Arcanum Nexus,"In the heart of the Celestial Realms lies Arcanum Nexus, a floating sanctum illuminated by the radiant beacon known as the Luminous Core. This beacon, pulsating with magical energies, has given birth to generations of the universe's most formidable mages. Arcanum Nexus is cradled between sky-high cliffs with vibrant foliage, each leaf echoing with whispers of ancient spells. The central spire is the Mage's Citadel, a place of learning, experimentation, and mastery over the arcane arts.",Land,Mage,Neutral,,,,0,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-185.png
0-186,Ethereal Veil,"Nestled between the realms of the living and the departed, Ethereal Veil is a mesmerizing land that pulses with spiritual energy. The very atmosphere shimmers with colors that seem to dance, whispering tales of eons past. Majestic mountains, carved by time and memory, stretch toward the cosmos, their peaks bathed in the ethereal light of the spirit stars.",Land,Spirit,Good,,,,0,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-186.png
0-187,Elysium's Midnight,"In the heart of the enigmatic realm known as the Land Of The Undead, Elysium's Midnight stands as an awe-inspiring testament to eternity. Bathed in the ghostly blue of a moonless night, a towering chapel rises majestically, crowned with a crucifix that watches over the solemn graveyard. An ethereal glow emanates from the chapel's entrance, drawing wanderers towards its mysterious allure. Tombstones, worn by time and tales untold, are scattered throughout, each bearing silent witness to lives once lived. Flickering candles, the guardians of the departed, cast a gentle luminescence, guiding the souls on their timeless journey. Elysium's Midnight is not just a place, but a moment frozen between the world of the living and the embrace of the ever-after.",Land,Undead,Evil,,,,0,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-187.png
0-188,Heaven's Pinnacle,"Floating above a sea of soft, rolling clouds lies the Land Of Celestials, a realm where the boundaries of reality and dreams intertwine. At the heart of this ethereal domain stands Heaven's Pinnacle, an architectural marvel of glistening spires reaching for the cosmos. Radiant beams of light pierce the velvet sky, illuminating the grandeur of the castle and its reflection below. The amber horizon, where day meets night, paints a canvas of myriad hues, showcasing nature's exquisite symphony. Nestled amongst the stars, this celestial kingdom is a beacon of hope and wonder, inviting souls to explore the mysteries of the universe and the depths of their own imaginations. Heaven's Pinnacle is not merely a destination, but a journey into the infinite expanse of the cosmos.",Land,Celestial,Good,,,,0,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-188.png
0-189,Pyron Spires,"The Pyron Spire stands majestically in the heart of the Land of Elementals, a beacon of fiery passion and unwavering strength. Its radiant core pulsates with the energy of the elemental forces, emanating an ethereal glow that can be seen from miles away. Surrounded by intricate temples and towering spires, this monument is a testament to the ancient civilizations that once thrived in this magical realm. The spire's foundation is a dance of molten rock and solid stone, cascading into a serene pool below, symbolizing the harmony of fire and water. This awe-inspiring structure is not just an architectural marvel but a spiritual epicenter, drawing elementals from far and wide to harness its raw energy and seek enlightenment.",Land,Elemental,Good,,,,0,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-189.png
0-190,Verdant Haven,"Deep within the Land of Beasts, the Verdant Haven thrives as an emblem of nature's untamed splendor. Majestic trees with luminous canopies rise to the skies, their roots interwoven with tales of ancient times. These arboreal giants serve as both guardians and homes to countless mystical creatures. Sunbeams pierce through the forest canopy, casting a gentle glow upon the tranquil pathways adorned with luminescent mushrooms and vibrant flora. Nestled at the heart of the haven is a mystical treehouse, its door emitting a soft purple radiance, signaling a sanctuary for those who seek communion with the beasts. The whispers of leaves and the songs of unseen creatures harmonize, making the Verdant Haven a symphony of life and a testament to nature's enduring magic.",Land,Beast,Neutral,,,,0,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-190.png
